Date,Open,High,Low,Close,Volume
2018-01-02,1.538800165039618,1.5634030176345008,1.5365632092145136,1.556693196296692,14464552
2018-01-03,1.5522196290306443,1.570112762841691,1.543272852897644,1.543272852897644,15403862
2018-01-04,1.54998332948797,1.5745857629061046,1.5231434172416185,1.5253803730010986,14955198
2018-01-05,1.5365629774221243,1.547746185654389,1.516433411831517,1.5276166200637817,10040103
2018-01-08,1.5276166797819484,1.5410364255715412,1.5231432917004324,1.5320900678634644,8233088
2018-01-09,1.5343266775305722,1.5388000658236016,1.5007773637771606,1.5007773637771606,16708067
2018-01-10,1.4985405589154988,1.5432729786326445,1.494067588939526,1.5231434106826782,26040549
2018-01-11,1.5388000550516001,1.5544562339782715,1.5320901295796427,1.5544562339782715,16599776
2018-01-12,1.5388000011444092,1.558929567627617,1.5320900759075138,1.5388000011444092,15352267
2018-01-15,1.5432728580779524,1.5522196342409842,1.5320900678634644,1.5320900678634644,11418072
2018-01-16,1.5388001137858751,1.5455099349001957,1.5320901880578075,1.5365631580352783,14503788
2018-01-17,1.5388003026641177,1.5410367356204882,1.5007775947655089,1.5119603872299194,23304426
2018-01-18,1.5209071824689826,1.5298535420786443,1.478411189719882,1.4851210117340088,23905521
2018-01-19,1.4918305344388965,1.5007773107085907,1.4851207137709757,1.4895941019058228,15048580
2018-01-22,1.494067381961977,1.500777202144519,1.467227578163147,1.467227578163147,17916340
2018-01-23,1.462754726409912,1.4761743678539134,1.4448615921812684,1.462754726409912,24325151
2018-01-24,1.4739373835144822,1.5119599764695781,1.4717008465519612,1.5097235441207886,38436775
2018-01-25,1.5097235441207886,1.5097235441207886,1.5097235441207886,1.5097235441207886,0
2018-01-26,1.5253802202043147,1.6618142127990723,1.5253802202043147,1.6618142127990723,60121146
2018-01-29,1.6662876610719977,1.7378600977548073,1.6282650623494435,1.679707407951355,60843677
2018-01-30,1.6864176988601685,1.7020744058576864,1.6349753389282444,1.6864176988601685,29886071
2018-01-31,1.7110201316920068,1.7311496990706527,1.659577787709085,1.6774709224700928,34456478
2018-02-01,1.6729976378578295,1.7132571935653687,1.6707611004878278,1.7132571935653687,20282468
